timestamp,tile_clicked,damage_received,created_word,damage_dealt,current_level,program_closed
20260420_184613,,,pum,21,23,
20260420_184616,True,,,,23,
20260420_184616,True,,,,23,
20260420_184616,True,,,,23,
20260420_184616,,9,,,23,
20260420_184617,True,,,,23,
20260420_184617,True,,,,23,
20260420_184618,True,,,,23,
20260420_184620,True,,,,23,
20260420_184622,True,,,,23,
20260420_184623,True,,,,23,
20260420_184623,True,,,,23,
20260420_184623,True,,,,23,
20260420_184623,True,,,,23,
20260420_184628,True,,,,23,
20260420_184629,True,,,,23,
20260420_184629,True,,,,23,
20260420_184630,True,,,,23,
20260420_184631,,,win,32,23,
20260420_184633,,9,,,23,
20260420_184634,,9,,,23,
20260420_184636,True,,,,23,
20260420_184637,True,,,,23,
20260420_184638,True,,,,23,
20260420_184639,True,,,,23,
20260420_184640,True,,,,23,
20260420_184640,True,,,,23,
20260420_184640,True,,,,23,
20260420_184642,,,pov,21,23,
20260420_184644,True,,,,23,
20260420_184644,True,,,,23,
20260420_184644,True,,,,23,
20260420_184645,True,,,,24,
20260420_184647,True,,,,24,
20260420_184650,,,daisy,46,24,
20260420_184652,,10,,,24,
20260420_184653,True,,,,24,
20260420_184654,True,,,,24,
20260420_184654,True,,,,24,
20260420_184654,True,,,,24,
20260420_184656,,,gart,27,24,
20260420_184658,,10,,,24,
20260420_184659,True,,,,24,
20260420_184659,True,,,,24,
20260420_184659,True,,,,24,
20260420_184700,True,,,,24,
20260420_184701,,,munt,41,24,
20260420_184702,True,,,,24,
20260420_184702,True,,,,24,
20260420_184703,True,,,,24,
20260420_184703,True,,,,24,
20260420_184705,,,hant,27,24,
20260420_184707,True,,,,24,
20260420_184707,True,,,,24,
20260420_184707,True,,,,24,
20260420_184707,,5,,,24,
20260420_184708,,10,,,24,
20260420_184709,True,,,,24,
20260420_184713,True,,,,24,
20260420_184713,True,,,,24,
20260420_184713,True,,,,24,
20260420_184715,True,,,,24,
20260420_184717,True,,,,24,
20260420_184717,True,,,,24,
20260420_184718,True,,,,24,
20260420_184719,True,,,,24,
20260420_184719,True,,,,24,
20260420_184719,True,,,,24,
20260420_184721,,,pic,21,24,
20260420_184724,,,,,25,True
20260420_184813,,,,,25,True
20260420_184919,,,,,25,True
20260420_190453,,,,,25,True
20260422_005341,True,,,,25,
20260422_005341,True,,,,25,
20260422_005342,True,,,,25,
20260422_005342,True,,,,25,
20260422_005344,,,fate,27,25,
20260422_005347,,4,,,25,
20260422_005353,True,,,,25,
20260422_005354,True,,,,25,
20260422_005419,True,,,,25,
20260422_005419,True,,,,25,
20260422_005420,True,,,,25,
20260422_005423,True,,,,25,
20260422_005426,True,,,,25,
20260422_005428,True,,,,25,
20260422_005429,True,,,,25,
20260422_005429,True,,,,25,
20260422_005430,True,,,,25,
20260422_005431,,,lop,21,25,
20260422_005434,,8,,,25,
20260422_005434,True,,,,25,
20260422_005435,True,,,,25,
20260422_005435,True,,,,25,
20260422_005435,True,,,,25,
20260422_005437,,,ding,41,25,
20260422_005440,,8,,,25,
20260422_005448,True,,,,25,
20260422_005449,True,,,,25,
20260422_005449,True,,,,25,
20260422_005451,True,,,,25,
20260422_005501,True,,,,25,
20260422_005502,True,,,,25,
20260422_005502,True,,,,25,
